tweet,task,preprocessed,gpe_count,org_count,sentence_count,pos_tagged,noun
@USER @USER interesting. Now do you and your state of Illinois. 🤡,NOT,user interesting. now do you and your state of illinois. 🤡,0.2,0.0,0.1875,user_NOUN interesting_ADJ state_NOUN illinois_PROPN 🤡_NOUN,user state illinois 🤡
"@USER @USER @USER I didn't see the referred to TV segment, and I don't support the response, but It is very easy to see how you, as a race baiter, can bring out the emotions you are trying to elicit. It is unfortunate that UR willing to sacrifice Black people to make you such a big man"".""",OFF,"user i didn't see the referred to tv segment, and i don't support the response, but it is very easy to see how you, as a race baiter, can bring out the emotions you are trying to elicit. it is unfortunate that ur willing to sacrifice black people to make you such a big man"".""",0.0,0.058823529411764705,0.125,user_NOUN refer_VERB tv_NOUN segment_NOUN support_VERB response_NOUN easy_ADJ race_NOUN baiter_NOUN bring_VERB emotion_NOUN try_VERB elicit_VERB unfortunate_ADJ ur_PROPN willing_ADJ sacrifice_VERB black_ADJ people_NOUN big_ADJ man_NOUN,user tv segment response race baiter emotion ur people man
@USER @USER These are sick ass people URL,OFF,user these are sick ass people url,0.0,0.0,0.0625,user_NOUN sick_ADJ ass_NOUN people_NOUN url_VERB,user ass people
@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Antifa constantly lies and... URL,NOT,user antifa constantly lies and... url,0.0,0.0,0.0625,user_PROPN antifa_PROPN constantly_ADV lie_VERB url_PROPN,user antifa url
@USER @USER Antifa methinks !!!,NOT,user antifa methinks  ! ! !,0.0,0.0,0.0625,user_PROPN antifa_PROPN methink_NOUN  _SPACE,user antifa methink
@USER @USER @USER @USER Also Jaclyn is either crazy stupid or she is straight up lying to people about the Morphe return policy. That is also deceptive and predatory,OFF,user also jaclyn is either crazy stupid or she is straight up lying to people about the morphe return policy. that is also deceptive and predatory,0.0,0.058823529411764705,0.125,user_NOUN jaclyn_PROPN crazy_ADJ stupid_ADJ straight_ADV lie_VERB people_NOUN morphe_NOUN return_NOUN policy_NOUN deceptive_ADJ predatory_ADJ,user jaclyn people morphe return policy
@USER Crazy thing is people naming Big and PAC as greats but forgetting the true underground rap legends like L. I still play his shit,OFF,user crazy thing is people naming big and pac as greats but forgetting the true underground rap legends like l. i still play his shit,0.0,0.058823529411764705,0.0625,user_PROPN crazy_ADJ thing_NOUN people_NOUN name_VERB big_ADJ pac_ADJ great_NOUN forget_VERB true_ADJ underground_ADJ rap_NOUN legend_NOUN like_ADP l._PROPN play_VERB shit_NOUN,user thing people great rap legend l. shit
@USER I’m still confounded and amazed the Antifa wing wants new speech restrictions as though some other AG who isn’t a racist hack will be in charge of implementing in interpreting them. He’s suing colleges for discriminating against *white* students w/ Civil Rights law. C’mon.,NOT,user i’m still confounded and amazed the antifa wing wants new speech restrictions as though some other ag who isn’t a racist hack will be in charge of implementing in interpreting them. he’s suing colleges for discriminating against *white* students w/ civil rights law. c’mon.,0.0,0.058823529411764705,0.1875,user_PROPN confound_VERB amaze_VERB antifa_NOUN wing_NOUN want_VERB new_ADJ speech_NOUN restriction_NOUN ag_PROPN racist_ADJ hack_NOUN charge_NOUN implement_VERB interpret_VERB sue_VERB college_NOUN discriminate_VERB white_ADJ student_NOUN w/_PROPN civil_ADJ right_NOUN law_NOUN c’m_VERB,user antifa wing speech restriction ag hack charge college student w/ right law
@USER Thanks for all you are doing to MAGA!,NOT,user thanks for all you are doing to maga !,0.0,0.11764705882352941,0.0625,user_NOUN thank_NOUN maga_VERB,user thank
@USER Incoming “evil soy” conspiracy nuts,OFF,user incoming “evil soy” conspiracy nuts,0.0,0.058823529411764705,0.0625,user_NOUN income_VERB evil_ADJ soy_NOUN conspiracy_NOUN nut_VERB,user soy conspiracy
"@USER @USER @USER She is a journalist and spreads fake info about painting of shree Krishnaji. Why people forget ligic &amp; professionalism when they try to be secular"". Do not tear our religious books to prove your stupidity. Fight your cause with moral means. URL",OFF,"user she is a journalist and spreads fake info about painting of shree krishnaji. why people forget ligic &amp; professionalism when they try to be secular"". do not tear our religious books to prove your stupidity. fight your cause with moral means. url",0.0,0.0,0.3125,user_NOUN journalist_NOUN spread_VERB fake_ADJ info_NOUN painting_NOUN shree_PROPN krishnaji_PROPN people_NOUN forget_VERB ligic_NOUN amp_NOUN professionalism_NOUN try_VERB secular_ADJ tear_VERB religious_ADJ book_NOUN prove_VERB stupidity_NOUN fight_VERB cause_NOUN moral_ADJ mean_NOUN url_PROPN,user journalist info painting shree krishnaji people ligic amp professionalism book stupidity cause mean url
@USER @USER @USER @USER @USER @USER @USER @USER @USER I like that they aren't mincing around with her. I do not understand why she is denying doing porn.,OFF,user i like that they aren't mincing around with her. i do not understand why she is denying doing porn.,0.0,0.0,0.125,user_NOUN like_VERB mince_VERB understand_VERB deny_VERB porn_NOUN,user porn
(I'm late but neverthelesssss) @USER HAPPY BIRTHDAY CEL! HOPE U HAD A GREAT DAY AND CONTINUE BEING THE PERSON YOU ARE! all the love ♡♡♡,NOT,(i'm late but neverthelesssss) user happy birthday cel ! hope u had a great day and continue being the person you are ! all the love ♡♡♡,0.0,0.058823529411764705,0.25,late_ADJ neverthelesssss_NOUN user_NOUN happy_ADJ birthday_NOUN cel_VERB hope_PROPN u_PROPN great_ADJ day_NOUN continue_VERB person_NOUN love_NOUN ♡_X ♡_X ♡_X,neverthelesssss user birthday hope u day person love
@USER I used to do signifing monkey by heart. Played it for the wife and she is like what the hell?,OFF,user i used to do signifing monkey by heart. played it for the wife and she is like what the hell ?,0.0,0.058823529411764705,0.125,user_NOUN signife_VERB monkey_NOUN heart_NOUN play_VERB wife_NOUN like_ADP hell_NOUN,user monkey heart wife hell
@USER You kept a SCJ seat open for over a year with Merrick Garland. It is not fair to push Kavanaugh thru. He is the most unpopular nominee ever. The American people deserve better than this. The woman deserves better than this.,OFF,user you kept a scj seat open for over a year with merrick garland. it is not fair to push kavanaugh thru. he is the most unpopular nominee ever. the american people deserve better than this. the woman deserves better than this.,0.0,0.17647058823529413,0.3125,user_NOUN keep_VERB scj_ADJ seat_NOUN open_ADJ year_NOUN merrick_ADJ garland_NOUN fair_ADJ push_VERB kavanaugh_NOUN unpopular_ADJ nominee_NOUN american_ADJ people_NOUN deserve_VERB well_ADV woman_NOUN deserve_VERB well_ADV,user seat year garland kavanaugh nominee people woman
(I guess I just need to double down on my donations to protect the Constitution and Bill of Rights!) Fast Company: ‘Gun Control Groups’ Donations Hurt Because Everyone Agrees With Them’ - The Truth About Guns URL,NOT,(i guess i just need to double down on my donations to protect the constitution and bill of rights !) fast company: ‘gun control groups’ donations hurt because everyone agrees with them’ - the truth about guns url,0.0,0.0,0.125,guess_VERB need_VERB double_VERB donation_NOUN protect_VERB constitution_NOUN bill_NOUN right_NOUN fast_ADJ company_NOUN gun_NOUN control_NOUN group_NOUN donation_NOUN hurt_VERB agree_VERB truth_NOUN gun_NOUN url_VERB,donation constitution bill right company gun control group donation truth gun
@USER Looks like the Democrats are on the right side of history.... Conservatives are always wrong... Prove otherwise upper east side Buck... Have you ever eaten in an Applebee’s?,NOT,user looks like the democrats are on the right side of history.... conservatives are always wrong... prove otherwise upper east side buck... have you ever eaten in an applebee’s ?,0.0,0.11764705882352941,0.25,user_NOUN look_VERB like_SCONJ democrats_PROPN right_ADJ history_NOUN conservative_NOUN wrong_ADJ prove_VERB upper_ADJ east_PROPN buck_NOUN eat_VERB applebee_NOUN,user democrats history conservative east buck applebee
@USER Bigly....lol.....bigly? He didnt won...he was elected by the people of the united states ahole...what he'll are you referring to? Antifa fools that get their asses kicked...vagina hats..lol pathetic ass,OFF,user bigly....lol.....bigly ? he didnt won...he was elected by the people of the united states ahole...what he'll are you referring to ? antifa fools that get their asses kicked...vagina hats..lol pathetic ass,0.2,0.0,0.1875,user_NOUN bigly_ADV lol_PROPN bigly_ADV not_PART win_VERB elect_VERB people_NOUN united_PROPN states_PROPN ahole_VERB refer_VERB antifa_PROPN fool_NOUN ass_NOUN kick_VERB vagina_PROPN hat_NOUN lol_PROPN pathetic_ADJ ass_NOUN,user lol people united states antifa fool ass vagina hat lol ass
@USER Cause who bitches be playing with 😭😭😭😭 god aint give me the gift for nothing,OFF,user cause who bitches be playing with 😭😭😭😭 god aint give me the gift for nothing,0.0,0.058823529411764705,0.0625,user_NOUN cause_NOUN bitch_VERB play_VERB 😭_ADJ 😭_ADJ 😭_ADJ 😭_PROPN god_PROPN be_AUX not_PART gift_NOUN,user cause 😭 god gift
@USER @USER @USER ANTIFA: THE ANARCHIST WHO WANTS TO ABOLISH GOVERNMENT... BY JOINING IT URL,NOT,user antifa: the anarchist who wants to abolish government... by joining it url,0.0,0.0,0.125,user_PROPN antifa_PROPN anarchist_NOUN want_VERB abolish_VERB government_NOUN join_VERB url_INTJ,user antifa anarchist government
*She is currently helping a customer out on a potion to help with mane loss.* (@USER,NOT,*she is currently helping a customer out on a potion to help with mane loss.* (user,0.0,0.058823529411764705,0.125,currently_ADV help_VERB customer_NOUN potion_NOUN help_VERB mane_NOUN loss_NOUN user_NOUN,customer potion mane loss user
@USER It’s funny how you idiot liberals seem to forget when other presidents do the same shit. Haha.,OFF,user it’s funny how you idiot liberals seem to forget when other presidents do the same shit. haha.,0.0,0.0,0.125,user_NOUN funny_ADJ idiot_ADJ liberal_NOUN forget_VERB president_NOUN shit_NOUN haha_INTJ,user liberal president shit
@USER Pro rate them just as you are the beginning positions.,NOT,user pro rate them just as you are the beginning positions.,0.0,0.058823529411764705,0.0625,user_NOUN pro_PROPN rate_VERB beginning_NOUN position_NOUN,user pro beginning position
@USER You get invited to KH events because you are very active in the Kingdom Hearts community and because you are a super duper MEGA FAN. You're extremely lucky so embrace it.,NOT,user you get invited to kh events because you are very active in the kingdom hearts community and because you are a super duper mega fan. you're extremely lucky so embrace it.,0.0,0.17647058823529413,0.125,user_NOUN invite_VERB kh_PROPN event_NOUN active_ADJ kingdom_NOUN heart_VERB community_NOUN super_ADV duper_NOUN mega_PROPN fan_NOUN extremely_ADV lucky_ADJ embrace_VERB,user kh event kingdom community duper mega fan
.@USER thinks he is a funny man. But “think” is the key word...because he isn’t that funny. #ALLINOnLonnieIsntFunny #MarchOnFromWalker,NOT,.user thinks he is a funny man. but “think” is the key word...because he isn’t that funny. allinonlonnieisntfunny marchonfromwalker,0.0,0.0,0.1875,.user_X think_VERB funny_ADJ man_NOUN think_VERB key_ADJ word_NOUN funny_ADJ allinonlonnieisntfunny_PROPN marchonfromwalker_PROPN,man word allinonlonnieisntfunny marchonfromwalker
. @USER @USER @USER @USER Fake conservatives and their fake outrage over the budget betrayal URL URL,OFF,. user fake conservatives and their fake outrage over the budget betrayal url url,0.0,0.0,0.125,user_NOUN fake_ADJ conservative_NOUN fake_ADJ outrage_NOUN budget_NOUN betrayal_NOUN url_NOUN url_ADV,user conservative outrage budget betrayal url
@USER As we say here in the South “ bless her heart”!,NOT,user as we say here in the south “ bless her heart” !,0.0,0.058823529411764705,0.0625,user_NOUN south_NOUN bless_VERB heart_NOUN,user south heart
@USER @USER @USER So all of those people who have thus far died - including a one-year-old child just this morning - it's just all fake news in your little mind.  I think you should go down there and take a look for yourself. Talk to some of your MAGA friends about how much fun they're having.,NOT,user so all of those people who have thus far died - including a one-year-old child just this morning - it's just all fake news in your little mind. i think you should go down there and take a look for yourself. talk to some of your maga friends about how much fun they're having.,0.0,0.058823529411764705,0.1875,user_NOUN people_NOUN far_ADV die_VERB include_VERB year_NOUN old_ADJ child_NOUN morning_NOUN fake_ADJ news_NOUN little_ADJ mind_NOUN think_VERB look_NOUN talk_VERB maga_NOUN friend_NOUN fun_NOUN have_VERB,user people year child morning news mind look maga friend fun
@USER @USER Companies used to remove execs who are emotionally disturbed. An ED exec can't be trusted to be a leader of people. I guess no longer.,NOT,user companies used to remove execs who are emotionally disturbed. an ed exec can't be trusted to be a leader of people. i guess no longer.,0.0,0.0,0.1875,user_NOUN company_NOUN remove_VERB exec_NOUN emotionally_ADV disturbed_ADJ ed_PROPN exec_NOUN trust_VERB leader_NOUN people_NOUN guess_VERB long_ADV,user company exec ed exec leader people
@USER @USER Both sides are ANTIFA...KKK...  Gotta stop,NOT,user both sides are antifa...kkk... gotta stop,0.0,0.0,0.125,user_NOUN side_NOUN antifa_PROPN kkk_ADV get_VERB to_PART stop_VERB,user side antifa
4 out of 10 British people are basically full-on racists. 4 out of 10 voters vote for the Conservatives. Coincidence!???!???,OFF,4 out of 10 british people are basically full-on racists. 4 out of 10 voters vote for the conservatives. coincidence ! ? ? ? ! ? ? ?,0.0,0.0,0.1875,4_NUM 10_NUM british_ADJ people_NOUN basically_ADV racist_NOUN 4_NUM 10_NUM voter_NOUN vote_NOUN conservative_NOUN coincidence_NOUN,people racist voter vote conservative coincidence
@USER @USER @USER @USER @USER Socialists politics that stand up for the downtrodden. And well done for conflating criticism of Israel with anti semitism. You are also part of the problem.,NOT,user socialists politics that stand up for the downtrodden. and well done for conflating criticism of israel with anti semitism. you are also part of the problem.,0.2,0.0,0.1875,user_NOUN socialist_VERB politic_NOUN stand_VERB downtrodden_ADJ conflate_VERB criticism_NOUN israel_PROPN anti_ADJ semitism_NOUN problem_NOUN,user politic criticism israel semitism problem
@USER @USER @USER @USER Actually per the rules it doesn’t matter if she even saw the coaches attempts to coach her - she is to receive a warning based on the coaches actions.  It would have stopped at just a warning but as you saw she couldn’t let it go.,NOT,user actually per the rules it doesn’t matter if she even saw the coaches attempts to coach her - she is to receive a warning based on the coaches actions. it would have stopped at just a warning but as you saw she couldn’t let it go.,0.0,0.0,0.125,user_NOUN actually_ADV rule_NOUN matter_VERB see_VERB coach_NOUN attempt_VERB coach_VERB receive_VERB warning_NOUN base_VERB coach_NOUN action_NOUN stop_VERB warning_NOUN see_VERB let_VERB,user rule coach warning coach action warning
@USER @USER that's hilarious.... let those #PuertoRicans legalize pot so they can forget about their problems after #HurricaneMaria...🇺🇸💵😏🤣  #ThursdayThoughts #ThursdayMotivation #resistance #resist #MAGA #Military #veterans #TCOT #ThisIsAmerica URL,OFF,user that's hilarious.... let those puertoricans legalize pot so they can forget about their problems after hurricanemaria...🇺🇸💵😏🤣 thursdaythoughts thursdaymotivation resistance resist maga military veterans tcot thisisamerica url,0.0,0.0,0.0625,user_NOUN hilarious_ADJ let_VERB puertorican_NOUN legalize_VERB pot_NOUN forget_VERB problem_NOUN hurricanemaria_NOUN 🇺_NUM 🇸_NUM 💵_NUM 😏_PROPN 🤣_PROPN thursdaythought_NOUN thursdaymotivation_NOUN resistance_NOUN resist_NOUN maga_NOUN military_ADJ veteran_NOUN tcot_PROPN thisisamerica_PROPN url_PROPN,user puertorican pot problem hurricanemaria 😏 🤣 thursdaythought thursdaymotivation resistance resist maga veteran tcot thisisamerica url
#WebberForCongress #NJ11 #MAGA we cannot allow #Liberals to #Impeach #POTUS #Trump URL,NOT,webberforcongress nj11 maga we cannot allow liberals to impeach potus trump url,0.0,0.058823529411764705,0.125,webberforcongress_NOUN nj11_PROPN maga_NOUN allow_VERB liberal_NOUN impeach_PROPN potus_PROPN trump_PROPN url_ADV,webberforcongress nj11 maga liberal impeach potus trump
...this obvious hit job on kavannah is not going to work...and the liberals continue to reveal themselves as demonic figures... URL,OFF,...this obvious hit job on kavannah is not going to work...and the liberals continue to reveal themselves as demonic figures... url,0.0,0.0,0.125,obvious_ADJ hit_NOUN job_NOUN kavannah_PROPN go_VERB work_VERB liberal_NOUN continue_VERB reveal_VERB demonic_ADJ figure_NOUN url_PROPN,hit job kavannah liberal figure url
@USER Fuck yeah you are!!!!,OFF,user fuck yeah you are ! ! ! !,0.0,0.0,0.125,user_NOUN fuck_INTJ yeah_INTJ,user
@USER @USER Bet Ford is a part of antifa and the Berkeley gang,OFF,user bet ford is a part of antifa and the berkeley gang,0.2,0.11764705882352941,0.0625,user_PROPN bet_PROPN ford_PROPN antifa_PROPN berkeley_PROPN gang_PROPN,user bet ford antifa berkeley gang
@USER @USER You mean the way Hillary re-victimized all of Bills accusers?,NOT,user you mean the way hillary re-victimized all of bills accusers ?,0.0,0.058823529411764705,0.0625,user_NOUN mean_VERB way_NOUN hillary_PROPN victimize_VERB bill_NOUN accuser_VERB,user way hillary bill
@USER You can’t pretend to care about women when only those attacking conservatives count. Got it? 👏👏👏 🤪,NOT,user you can’t pretend to care about women when only those attacking conservatives count. got it ? 👏👏👏 🤪,0.0,0.11764705882352941,0.1875,user_NOUN pretend_VERB care_VERB woman_NOUN attack_VERB conservative_NOUN count_VERB get_VERB 👏_PROPN 👏_PROPN 👏_PROPN 🤪_SPACE,user woman conservative 👏 👏 👏
@USER @USER He will lose his entire career?? You people are despicable. I know you do not believe in god but hell will be filled with liberals like you and Dianne,OFF,user he will lose his entire career ? ? you people are despicable. i know you do not believe in god but hell will be filled with liberals like you and dianne,0.0,0.058823529411764705,0.25,user_NOUN lose_VERB entire_ADJ career_NOUN people_NOUN despicable_ADJ know_VERB believe_VERB god_PROPN hell_NOUN fill_VERB liberal_NOUN like_ADP dianne_PROPN,user career people god hell liberal dianne
@USER @USER @USER Poor Joe he is in bad need of some attention so he attacks the President and his supporters. He said jobs a 3 letter word was the key to prosperity. Guess who delivered those?,NOT,user poor joe he is in bad need of some attention so he attacks the president and his supporters. he said jobs a 3 letter word was the key to prosperity. guess who delivered those ?,0.0,0.0,0.1875,user_PROPN poor_PROPN joe_PROPN bad_ADJ need_NOUN attention_NOUN attack_VERB president_NOUN supporter_NOUN say_VERB job_NOUN 3_NUM letter_NOUN word_NOUN key_NOUN prosperity_NOUN guess_VERB deliver_VERB,user poor joe need attention president supporter job letter word key prosperity
@USER Cue the liberals’ moral shunning of society for a minute; as they take a break from trying to ruin Brett Kavanaugh’s life &amp; humiliating his family.,NOT,user cue the liberals’ moral shunning of society for a minute; as they take a break from trying to ruin brett kavanaugh’s life &amp; humiliating his family.,0.0,0.058823529411764705,0.0625,user_NOUN cue_VERB liberal_NOUN moral_ADJ shunning_NOUN society_NOUN minute_NOUN break_NOUN try_VERB ruin_VERB brett_PROPN kavanaugh_PROPN life_NOUN amp_NOUN humiliate_VERB family_NOUN,user liberal shunning society minute break brett kavanaugh life amp family
@USER They meet many many fans it’s amazing that he remembered her don’t be a bitch,OFF,user they meet many many fans it’s amazing that he remembered her don’t be a bitch,0.0,0.058823529411764705,0.0625,user_NOUN meet_VERB fan_NOUN amazing_ADJ remember_VERB bitch_NOUN,user fan bitch
@USER @USER @USER @USER Yet they haven't. How do you know they are actually antifa members and not far right pretending to be violent antifa to make people like you think they are so dangerous.   🤔 Hmm,NOT,user yet they haven't. how do you know they are actually antifa members and not far right pretending to be violent antifa to make people like you think they are so dangerous. 🤔 hmm,0.0,0.0,0.1875,user_NOUN know_VERB actually_ADV antifa_NOUN member_NOUN far_ADV right_ADJ pretending_NOUN violent_ADJ antifa_NOUN people_NOUN like_ADP think_VERB dangerous_ADJ 🤔_PROPN hmm_NOUN,user antifa member pretending antifa people 🤔 hmm
"@USER @USER @USER @USER @USER Our debt is not unsubstantiated.  It is backed by the full faith and credit"" of the United States, except when conservatives decide they don't believe in that.""",NOT,"user our debt is not unsubstantiated. it is backed by the full faith and credit"" of the united states, except when conservatives decide they don't believe in that.""",0.2,0.0,0.125,user_NOUN debt_NOUN unsubstantiated_ADJ back_VERB faith_NOUN credit_NOUN united_PROPN states_PROPN conservative_NOUN decide_VERB believe_VERB,user debt faith credit united states conservative
INTERRUPTING HIS HEARING AT EVERY TURN! BUT THATS OK HE IS A MAN AND CAN TAKE IT! AT LEAST HE WILL REMEMBER WHO WHAT WHEN AND WHERE HE WAS! AFTER THIS KAVANAUGH WILL HAVE DEFINITELY EARNED HIS STRIPES TO SCOTUS!  MAGA!,OFF,interrupting his hearing at every turn ! but thats ok he is a man and can take it ! at least he will remember who what when and where he was ! after this kavanaugh will have definitely earned his stripes to scotus ! maga !,0.0,0.11764705882352941,0.375,interrupt_VERB hearing_NOUN turn_NOUN s_VERB ok_INTJ man_NOUN remember_VERB kavanaugh_NOUN definitely_ADV earn_VERB stripe_NOUN scotus_NOUN maga_NOUN,hearing turn man kavanaugh stripe scotus maga
"@USER @USER Once again, stay away from the pronoun we"" . You are an individual.  Btw, I'm not justifying him/males... I'm telling you to stay safe on here.  ✌✌""",NOT,"user once again, stay away from the pronoun we"" . you are an individual. btw, i'm not justifying him/males... i'm telling you to stay safe on here. ✌✌""",0.0,0.0,0.3125,user_NOUN stay_VERB away_ADV pronoun_NOUN individual_NOUN btw_ADV justify_VERB male_NOUN tell_VERB stay_VERB safe_ADJ ✌_NOUN ✌_NOUN,user pronoun individual male ✌ ✌
"@USER JUST LIKE A PLANTATION, White Liberals have Black people under their thumb and any Black person that tries to get out from under their Old Order"" is considered one of them uppity Negroes, too smart fer his britches. They get all the other good lil Negroes to teach em a lesson.""",OFF,"user just like a plantation, white liberals have black people under their thumb and any black person that tries to get out from under their old order"" is considered one of them uppity negroes, too smart fer his britches. they get all the other good lil negroes to teach em a lesson.""",0.0,0.17647058823529413,0.1875,user_NOUN like_ADP plantation_NOUN white_ADJ liberal_NOUN black_ADJ people_NOUN thumb_NOUN black_ADJ person_NOUN try_VERB old_ADJ order_NOUN consider_VERB uppity_NOUN negro_NOUN smart_ADJ fer_PROPN britche_NOUN good_ADJ lil_PROPN negro_NOUN teach_VERB em_PRON lesson_NOUN,user plantation liberal people thumb person order uppity negro fer britche lil negro lesson
@USER @USER @USER Brexit has split the Conservatives and Labour remains devided and leaderless on the subject. The TUC is split across unions and UK is in danger of fragmenting. Surely the only way to unite us is to vote on the final exit deal/WTO v Remain. Meanwhile listen to all options evenly.,NOT,user brexit has split the conservatives and labour remains devided and leaderless on the subject. the tuc is split across unions and uk is in danger of fragmenting. surely the only way to unite us is to vote on the final exit deal/wto v remain. meanwhile listen to all options evenly.,0.2,0.17647058823529413,0.25,user_PROPN brexit_PROPN split_VERB conservative_NOUN labour_NOUN remain_VERB devided_ADJ leaderless_NOUN subject_NOUN tuc_NOUN split_VERB union_NOUN uk_PROPN danger_NOUN fragmenting_NOUN surely_ADV way_NOUN unite_VERB vote_VERB final_ADJ exit_NOUN deal_NOUN wto_PROPN v_NOUN remain_NOUN listen_VERB option_NOUN evenly_ADV,user brexit conservative labour leaderless subject tuc union uk danger fragmenting way exit deal wto v remain option
